tick,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure_pa,temperature_c,latitude,longitude,gps_altitude,unix_time,milliseconds,satellites,baro_altitude,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,p_diag_0,p_diag_1,p_diag_2,p_diag_3,p_diag_4,p_diag_5,p_diag_6,p_diag_7,p_diag_8,flags,battery_v,state,relay,last_command
5522,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5532,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5542,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5552,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5562,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5572,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5582,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5592,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5602,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5612,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855000138282776,1,0,3
5622,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5632,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5642,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5652,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5662,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
